file_name,doc_id,org,org_type,title,date,date_int,doc_type,field_tags,layer,source_url,retrieved_at,status,policy_tags,doc_nature
keidanren_2026_037.pdf,keidanren_2026_037,keidanren,経済団体,2026年夏季賞与・一時金 大手企業業種別妥結状況,2026-07-02,20260702,資料,労働,公開,https://www.keidanren.or.jp/policy/2026/037.pdf,2026-07-05,ok,労働・雇用,内部調査・会員アンケート
keidanren_2026_030.pdf,keidanren_2026_030,keidanren,経済団体,2026年春季労使交渉・大手企業業種別回答状況,2026-05-27,20260527,資料,労働,公開,https://www.keidanren.or.jp/policy/2026/030.pdf,2026-07-05,ok,労働・雇用,内部調査・会員アンケート
keidanren_2026_031.pdf,keidanren_2026_031,keidanren,経済団体,EUにおけるPFAS規制案へのコメント,2026-05-22,20260522,意見,環境,公開,https://www.keidanren.or.jp/policy/2026/031.pdf,2026-09-03,ok,エネルギー・環境|通商・国際経済・国際協力|産業政策・成長戦略,主張・提言
keidanren_2026_022.pdf,keidanren_2026_022,keidanren,経済団体,科学技術立国戦略,2026-05-19,20260519,提言,産業技術,公開,https://www.keidanren.or.jp/policy/2026/022_honbun.pdf,2026-09-03,ok,イノベーション・科学技術・スタートアップ|産業政策・成長戦略|人材・教育,主張・提言
keidanren_2026_029.pdf,keidanren_2026_029,keidanren,経済団体,報告書「若年社員の活躍推進における5つの課題と対応策」,2026-05-19,20260519,報告書,労働,公開,https://www.keidanren.or.jp/policy/2026/029_honbun.pdf,2026-09-03,ok,人材・教育|労働・雇用,主張・提言
keidanren_2026_027.pdf,keidanren_2026_027,keidanren,経済団体,会社法制（株式・株主総会等関係）の見直しに関する中間試案に対する意見,2026-05-19,20260519,意見,経済基盤,公開,https://www.keidanren.or.jp/policy/2026/027_honbun.pdf,2026-09-03,ok,企業経営・ガバナンス・サステナビリティ|行政改革・規制改革,主張・提言
keidanren_2026_026.pdf,keidanren_2026_026,keidanren,経済団体,防衛生産・技術基盤の抜本的強化に向けて,2026-05-19,20260519,提言,産業技術,公開,https://www.keidanren.or.jp/policy/2026/026_honbun.pdf,2026-09-03,ok,外交・安全保障・経済安全保障|産業政策・成長戦略|イノベーション・科学技術・スタートアップ,主張・提言
keidanren_2026_024.pdf,keidanren_2026_024,keidanren,経済団体,Society 5.0時代のヘルスケアV,2026-05-19,20260519,提言,産業技術,公開,https://www.keidanren.or.jp/policy/2026/024_honbun.pdf,2026-09-03,ok,社会保障（年金・医療・介護）|デジタル・情報通信|イノベーション・科学技術・スタートアップ,主張・提言
keidanren_2026_023.pdf,keidanren_2026_023,keidanren,経済団体,裁量労働制の拡充を求める,2026-05-19,20260519,提言,労働,公開,https://www.keidanren.or.jp/policy/2026/023_honbun.pdf,2026-09-03,ok,労働・雇用|行政改革・規制改革,主張・提言
keidanren_2026_028.pdf,keidanren_2026_028,keidanren,経済団体,第2回日印経済安全保障対話 提出資料,2026-05-11,20260511,提言,地域,公開,https://www.keidanren.or.jp/policy/2026/028_siryo1.pdf,2026-09-03,ok,外交・安全保障・経済安全保障|通商・国際経済・国際協力|産業政策・成長戦略,主張・提言
keidanren_2026_019.pdf,keidanren_2026_019,keidanren,経済団体,育成から飛躍へ：スタートアップ育成5か年計画の先を見据えた基本戦略,2026-04-14,20260414,提言,産業技術,公開,https://www.keidanren.or.jp/policy/2026/019_honbun.pdf,2026-09-03,ok,イノベーション・科学技術・スタートアップ|産業政策・成長戦略,主張・提言
keidanren_2026_016.pdf,keidanren_2026_016,keidanren,経済団体,HR部門におけるAI等の活用に関する報告書,2026-04-14,20260414,報告書,労働,公開,https://www.keidanren.or.jp/policy/2026/016.pdf,2026-09-03,ok,労働・雇用|デジタル・情報通信|人材・教育,内部調査・会員アンケート
keidanren_2026_018.pdf,keidanren_2026_018,keidanren,経済団体,税・財政・社会保障一体改革に関する基本的考え方,2026-04-14,20260414,提言,経済政策,公開,https://www.keidanren.or.jp/policy/2026/018_honbun.pdf,2026-09-03,ok,税制・財政|社会保障（年金・医療・介護）|マクロ経済・経済財政運営,主張・提言
keidanren_2026_020.pdf,keidanren_2026_020,keidanren,経済団体,「特定荷主が物品の運送又は保管を委託する場合の特定の不公正な取引方法」改正案等に対する意見,2026-04-13,20260413,意見,経済基盤,公開,https://www.keidanren.or.jp/policy/2026/020.pdf,2026-09-03,ok,行政改革・規制改革|産業政策・成長戦略|中小企業,主張・提言
keidanren_2026_015.pdf,keidanren_2026_015,keidanren,経済団体,2025年度 カーボンニュートラル行動計画 第三者評価委員会 評価報告書,2026-03-30,20260330,報告書,環境,公開,https://www.keidanren.or.jp/policy/2026/015.pdf,2026-09-03,ok,エネルギー・環境|産業政策・成長戦略,外部・第三者資料
keidanren_2026_013.pdf,keidanren_2026_013,keidanren,経済団体,循環型社会形成自主行動計画,2026-03-17,20260317,提言,環境,公開,https://www.keidanren.or.jp/policy/2026/013_gaiyo.pdf,2026-09-03,ok,エネルギー・環境|産業政策・成長戦略,内部調査・会員アンケート
keidanren_2026_012.pdf,keidanren_2026_012,keidanren,経済団体,資源安全保障に資するサーキュラーエコノミー推進に関する提言,2026-03-17,20260317,提言,環境,公開,https://www.keidanren.or.jp/policy/2026/012_honbun.pdf,2026-09-03,ok,エネルギー・環境|外交・安全保障・経済安全保障|産業政策・成長戦略,主張・提言
keidanren_2026_011.pdf,keidanren_2026_011,keidanren,経済団体,わが国ロボット（AI＋）戦略のあり方に関する提言,2026-03-17,20260317,提言,産業政策,公開,https://www.keidanren.or.jp/policy/2026/011_honbun.pdf,2026-09-03,ok,産業政策・成長戦略|イノベーション・科学技術・スタートアップ|デジタル・情報通信,主張・提言
keidanren_2026_014.pdf,keidanren_2026_014,keidanren,経済団体,サーキュラーエコノミー訪欧ミッション報告,2026-02-17,20260217,提言,環境,公開,https://www.keidanren.or.jp/policy/2026/014.pdf,2026-09-03,ok,エネルギー・環境|通商・国際経済・国際協力|産業政策・成長戦略,活動記録
